Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/6/21 9:35,23.94,YF,DC,S_DCS_H1,20,Herbivore
2,7/6/21 10:35,28.01,YF,DC,S_DCS_H1,20,Herbivore
3,7/6/21 11:35,28.05,YF,DC,S_DCS_H1,20,Herbivore
4,7/6/21 12:35,29.98,YF,DC,S_DCS_H1,20,Herbivore
5,7/6/21 13:35,31.19,YF,DC,S_DCS_H1,20,Herbivore
6,7/6/21 14:35,30.5,YF,DC,S_DCS_H1,20,Herbivore
7,7/6/21 15:35,30.24,YF,DC,S_DCS_H1,20,Herbivore
8,7/6/21 16:35,29.04,YF,DC,S_DCS_H1,20,Herbivore
9,7/6/21 17:35,22.01,YF,DC,S_DCS_H1,20,Herbivore
10,7/6/21 18:35,20.12,YF,DC,S_DCS_H1,20,Herbivore
11,7/6/21 19:35,19.82,YF,DC,S_DCS_H1,20,Herbivore
12,7/6/21 20:35,19.43,YF,DC,S_DCS_H1,20,Herbivore
13,7/6/21 21:35,18.87,YF,DC,S_DCS_H1,20,Herbivore
14,7/6/21 22:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
15,7/6/21 23:35,18.32,YF,DC,S_DCS_H1,20,Herbivore
16,7/7/21 0:35,18.19,YF,DC,S_DCS_H1,20,Herbivore
17,7/7/21 1:35,18.32,YF,DC,S_DCS_H1,20,Herbivore
18,7/7/21 2:35,18.53,YF,DC,S_DCS_H1,20,Herbivore
19,7/7/21 3:35,18.36,YF,DC,S_DCS_H1,20,Herbivore
20,7/7/21 4:35,18.4,YF,DC,S_DCS_H1,20,Herbivore
21,7/7/21 5:35,18.1,YF,DC,S_DCS_H1,20,Herbivore
22,7/7/21 6:35,18.7,YF,DC,S_DCS_H1,20,Herbivore
23,7/7/21 7:35,20.55,YF,DC,S_DCS_H1,20,Herbivore
24,7/7/21 8:35,23.72,YF,DC,S_DCS_H1,20,Herbivore
25,7/7/21 9:35,25.65,YF,DC,S_DCS_H1,20,Herbivore
26,7/7/21 10:35,26.64,YF,DC,S_DCS_H1,20,Herbivore
27,7/7/21 11:35,27.75,YF,DC,S_DCS_H1,20,Herbivore
28,7/7/21 12:35,29.68,YF,DC,S_DCS_H1,20,Herbivore
29,7/7/21 13:35,30.93,YF,DC,S_DCS_H1,20,Herbivore
30,7/7/21 14:35,31.66,YF,DC,S_DCS_H1,20,Herbivore
31,7/7/21 15:35,30.37,YF,DC,S_DCS_H1,20,Herbivore
32,7/7/21 16:35,30.46,YF,DC,S_DCS_H1,20,Herbivore
33,7/7/21 17:35,28.23,YF,DC,S_DCS_H1,20,Herbivore
34,7/7/21 18:35,20.25,YF,DC,S_DCS_H1,20,Herbivore
35,7/7/21 19:35,20.12,YF,DC,S_DCS_H1,20,Herbivore
36,7/7/21 20:35,19.56,YF,DC,S_DCS_H1,20,Herbivore
37,7/7/21 21:35,18.74,YF,DC,S_DCS_H1,20,Herbivore
38,7/7/21 22:35,19.43,YF,DC,S_DCS_H1,20,Herbivore
39,7/7/21 23:35,19.17,YF,DC,S_DCS_H1,20,Herbivore
40,7/8/21 0:35,18.66,YF,DC,S_DCS_H1,20,Herbivore
41,7/8/21 1:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
42,7/8/21 2:35,19.13,YF,DC,S_DCS_H1,20,Herbivore
43,7/8/21 3:35,19.26,YF,DC,S_DCS_H1,20,Herbivore
44,7/8/21 4:35,19.17,YF,DC,S_DCS_H1,20,Herbivore
45,7/8/21 5:35,17.11,YF,DC,S_DCS_H1,20,Herbivore
46,7/8/21 6:35,16.77,YF,DC,S_DCS_H1,20,Herbivore
47,7/8/21 7:35,18.14,YF,DC,S_DCS_H1,20,Herbivore
48,7/8/21 8:35,18.32,YF,DC,S_DCS_H1,20,Herbivore
49,7/8/21 9:35,19.13,YF,DC,S_DCS_H1,20,Herbivore
50,7/8/21 10:35,19.47,YF,DC,S_DCS_H1,20,Herbivore
51,7/8/21 11:35,18.62,YF,DC,S_DCS_H1,20,Herbivore
52,7/8/21 12:35,20.07,YF,DC,S_DCS_H1,20,Herbivore
53,7/8/21 13:35,20.03,YF,DC,S_DCS_H1,20,Herbivore
54,7/8/21 14:35,19.77,YF,DC,S_DCS_H1,20,Herbivore
55,7/8/21 15:35,19,YF,DC,S_DCS_H1,20,Herbivore
56,7/8/21 16:35,19.35,YF,DC,S_DCS_H1,20,Herbivore
57,7/8/21 17:35,18.19,YF,DC,S_DCS_H1,20,Herbivore
58,7/8/21 18:35,17.59,YF,DC,S_DCS_H1,20,Herbivore
59,7/8/21 19:35,17.46,YF,DC,S_DCS_H1,20,Herbivore
60,7/8/21 20:35,17.16,YF,DC,S_DCS_H1,20,Herbivore
61,7/8/21 21:35,17.16,YF,DC,S_DCS_H1,20,Herbivore
62,7/8/21 22:35,17.07,YF,DC,S_DCS_H1,20,Herbivore
63,7/8/21 23:35,17.11,YF,DC,S_DCS_H1,20,Herbivore
64,7/9/21 0:35,17.03,YF,DC,S_DCS_H1,20,Herbivore
65,7/9/21 1:35,17.2,YF,DC,S_DCS_H1,20,Herbivore
66,7/9/21 2:35,17.67,YF,DC,S_DCS_H1,20,Herbivore
67,7/9/21 3:35,17.84,YF,DC,S_DCS_H1,20,Herbivore
68,7/9/21 4:35,17.93,YF,DC,S_DCS_H1,20,Herbivore
69,7/9/21 5:35,17.84,YF,DC,S_DCS_H1,20,Herbivore
70,7/9/21 6:35,18.14,YF,DC,S_DCS_H1,20,Herbivore
71,7/9/21 7:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
72,7/9/21 8:35,18.57,YF,DC,S_DCS_H1,20,Herbivore
73,7/9/21 9:35,19.05,YF,DC,S_DCS_H1,20,Herbivore
74,7/9/21 10:35,18.96,YF,DC,S_DCS_H1,20,Herbivore
75,7/9/21 11:35,18.57,YF,DC,S_DCS_H1,20,Herbivore
76,7/9/21 12:35,18.96,YF,DC,S_DCS_H1,20,Herbivore
77,7/9/21 13:35,17.8,YF,DC,S_DCS_H1,20,Herbivore
78,7/9/21 14:35,21.32,YF,DC,S_DCS_H1,20,Herbivore
79,7/9/21 15:35,22.56,YF,DC,S_DCS_H1,20,Herbivore
80,7/9/21 16:35,24.06,YF,DC,S_DCS_H1,20,Herbivore
81,7/9/21 17:35,23.85,YF,DC,S_DCS_H1,20,Herbivore
82,7/9/21 18:35,22.43,YF,DC,S_DCS_H1,20,Herbivore
83,7/9/21 19:35,21.28,YF,DC,S_DCS_H1,20,Herbivore
84,7/9/21 20:35,19.47,YF,DC,S_DCS_H1,20,Herbivore
85,7/9/21 21:35,19.22,YF,DC,S_DCS_H1,20,Herbivore
86,7/9/21 22:35,18.14,YF,DC,S_DCS_H1,20,Herbivore
87,7/9/21 23:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
88,7/10/21 0:35,18.36,YF,DC,S_DCS_H1,20,Herbivore
89,7/10/21 1:35,18.79,YF,DC,S_DCS_H1,20,Herbivore
90,7/10/21 2:35,18.62,YF,DC,S_DCS_H1,20,Herbivore
91,7/10/21 3:35,18.14,YF,DC,S_DCS_H1,20,Herbivore
92,7/10/21 4:35,19.22,YF,DC,S_DCS_H1,20,Herbivore
93,7/10/21 5:35,18.92,YF,DC,S_DCS_H1,20,Herbivore
94,7/10/21 6:35,18.7,YF,DC,S_DCS_H1,20,Herbivore
95,7/10/21 7:35,18.74,YF,DC,S_DCS_H1,20,Herbivore
96,7/10/21 8:35,19.35,YF,DC,S_DCS_H1,20,Herbivore
97,7/10/21 9:35,19.99,YF,DC,S_DCS_H1,20,Herbivore
98,7/10/21 10:35,19.99,YF,DC,S_DCS_H1,20,Herbivore
99,7/10/21 11:35,20.59,YF,DC,S_DCS_H1,20,Herbivore
100,7/10/21 12:35,23.76,YF,DC,S_DCS_H1,20,Herbivore
101,7/10/21 13:35,22.48,YF,DC,S_DCS_H1,20,Herbivore
102,7/10/21 14:35,22.78,YF,DC,S_DCS_H1,20,Herbivore
103,7/10/21 15:35,23.59,YF,DC,S_DCS_H1,20,Herbivore
104,7/10/21 16:35,22.01,YF,DC,S_DCS_H1,20,Herbivore
105,7/10/21 17:35,23.25,YF,DC,S_DCS_H1,20,Herbivore
106,7/10/21 18:35,21.58,YF,DC,S_DCS_H1,20,Herbivore
107,7/10/21 19:35,19.73,YF,DC,S_DCS_H1,20,Herbivore
108,7/10/21 20:35,17.24,YF,DC,S_DCS_H1,20,Herbivore
109,7/10/21 21:35,16.04,YF,DC,S_DCS_H1,20,Herbivore
110,7/10/21 22:35,15.4,YF,DC,S_DCS_H1,20,Herbivore
111,7/10/21 23:35,15.18,YF,DC,S_DCS_H1,20,Herbivore
112,7/11/21 0:35,16.04,YF,DC,S_DCS_H1,20,Herbivore
113,7/11/21 1:35,14.75,YF,DC,S_DCS_H1,20,Herbivore
114,7/11/21 2:35,16.21,YF,DC,S_DCS_H1,20,Herbivore
115,7/11/21 3:35,16.77,YF,DC,S_DCS_H1,20,Herbivore
116,7/11/21 4:35,17.84,YF,DC,S_DCS_H1,20,Herbivore
117,7/11/21 5:35,17.93,YF,DC,S_DCS_H1,20,Herbivore
118,7/11/21 6:35,18.74,YF,DC,S_DCS_H1,20,Herbivore
119,7/11/21 7:35,19.69,YF,DC,S_DCS_H1,20,Herbivore
120,7/11/21 8:35,20.5,YF,DC,S_DCS_H1,20,Herbivore
121,7/11/21 9:35,21.62,YF,DC,S_DCS_H1,20,Herbivore
122,7/11/21 10:35,24.11,YF,DC,S_DCS_H1,20,Herbivore
123,7/11/21 11:35,26.68,YF,DC,S_DCS_H1,20,Herbivore
124,7/11/21 12:35,25.18,YF,DC,S_DCS_H1,20,Herbivore
125,7/11/21 13:35,26.38,YF,DC,S_DCS_H1,20,Herbivore
126,7/11/21 14:35,24.36,YF,DC,S_DCS_H1,20,Herbivore
127,7/11/21 15:35,22.52,YF,DC,S_DCS_H1,20,Herbivore
128,7/11/21 16:35,22.39,YF,DC,S_DCS_H1,20,Herbivore
129,7/11/21 17:35,22.05,YF,DC,S_DCS_H1,20,Herbivore
130,7/11/21 18:35,21.4,YF,DC,S_DCS_H1,20,Herbivore
131,7/11/21 19:35,20.5,YF,DC,S_DCS_H1,20,Herbivore
132,7/11/21 20:35,19.86,YF,DC,S_DCS_H1,20,Herbivore
133,7/11/21 21:35,19.43,YF,DC,S_DCS_H1,20,Herbivore
134,7/11/21 22:35,19.13,YF,DC,S_DCS_H1,20,Herbivore
135,7/11/21 23:35,18.96,YF,DC,S_DCS_H1,20,Herbivore
136,7/12/21 0:35,18.87,YF,DC,S_DCS_H1,20,Herbivore
137,7/12/21 1:35,19.26,YF,DC,S_DCS_H1,20,Herbivore
138,7/12/21 2:35,19.3,YF,DC,S_DCS_H1,20,Herbivore
139,7/12/21 3:35,19.3,YF,DC,S_DCS_H1,20,Herbivore
140,7/12/21 4:35,19.26,YF,DC,S_DCS_H1,20,Herbivore
141,7/12/21 5:35,19.26,YF,DC,S_DCS_H1,20,Herbivore
142,7/12/21 6:35,19.52,YF,DC,S_DCS_H1,20,Herbivore
143,7/12/21 7:35,19.82,YF,DC,S_DCS_H1,20,Herbivore
144,7/12/21 8:35,19.6,YF,DC,S_DCS_H1,20,Herbivore
145,7/12/21 9:35,18.14,YF,DC,S_DCS_H1,20,Herbivore
146,7/12/21 10:35,18.57,YF,DC,S_DCS_H1,20,Herbivore
147,7/12/21 11:35,19.35,YF,DC,S_DCS_H1,20,Herbivore
148,7/12/21 12:35,19.22,YF,DC,S_DCS_H1,20,Herbivore
149,7/12/21 13:35,20.07,YF,DC,S_DCS_H1,20,Herbivore
150,7/12/21 14:35,20.85,YF,DC,S_DCS_H1,20,Herbivore
151,7/12/21 15:35,20.29,YF,DC,S_DCS_H1,20,Herbivore
152,7/12/21 16:35,19.52,YF,DC,S_DCS_H1,20,Herbivore
153,7/12/21 17:35,19.13,YF,DC,S_DCS_H1,20,Herbivore
154,7/12/21 18:35,18.66,YF,DC,S_DCS_H1,20,Herbivore
155,7/12/21 19:35,18.4,YF,DC,S_DCS_H1,20,Herbivore
156,7/12/21 20:35,17.93,YF,DC,S_DCS_H1,20,Herbivore
157,7/12/21 21:35,17.59,YF,DC,S_DCS_H1,20,Herbivore
158,7/12/21 22:35,17.59,YF,DC,S_DCS_H1,20,Herbivore
159,7/12/21 23:35,17.46,YF,DC,S_DCS_H1,20,Herbivore
160,7/13/21 0:35,17.41,YF,DC,S_DCS_H1,20,Herbivore
161,7/13/21 1:35,17.11,YF,DC,S_DCS_H1,20,Herbivore
162,7/13/21 2:35,17.11,YF,DC,S_DCS_H1,20,Herbivore
163,7/13/21 3:35,16.73,YF,DC,S_DCS_H1,20,Herbivore
164,7/13/21 4:35,16.6,YF,DC,S_DCS_H1,20,Herbivore
165,7/13/21 5:35,16.6,YF,DC,S_DCS_H1,20,Herbivore
166,7/13/21 6:35,16.77,YF,DC,S_DCS_H1,20,Herbivore
167,7/13/21 7:35,17.2,YF,DC,S_DCS_H1,20,Herbivore
168,7/13/21 8:35,18.23,YF,DC,S_DCS_H1,20,Herbivore
169,7/13/21 9:35,18.96,YF,DC,S_DCS_H1,20,Herbivore
170,7/13/21 10:35,19.47,YF,DC,S_DCS_H1,20,Herbivore
171,7/13/21 11:35,20.03,YF,DC,S_DCS_H1,20,Herbivore
172,7/13/21 12:35,19.56,YF,DC,S_DCS_H1,20,Herbivore
173,7/13/21 13:35,20.42,YF,DC,S_DCS_H1,20,Herbivore
174,7/13/21 14:35,20.33,YF,DC,S_DCS_H1,20,Herbivore
175,7/13/21 15:35,20.2,YF,DC,S_DCS_H1,20,Herbivore
176,7/13/21 16:35,20.07,YF,DC,S_DCS_H1,20,Herbivore
177,7/13/21 17:35,19.95,YF,DC,S_DCS_H1,20,Herbivore
178,7/13/21 18:35,19.65,YF,DC,S_DCS_H1,20,Herbivore
179,7/13/21 19:35,19.13,YF,DC,S_DCS_H1,20,Herbivore
180,7/13/21 20:35,18.87,YF,DC,S_DCS_H1,20,Herbivore
181,7/13/21 21:35,18.83,YF,DC,S_DCS_H1,20,Herbivore
182,7/13/21 22:35,18.66,YF,DC,S_DCS_H1,20,Herbivore
183,7/13/21 23:35,18.57,YF,DC,S_DCS_H1,20,Herbivore
184,7/14/21 0:35,18.57,YF,DC,S_DCS_H1,20,Herbivore
185,7/14/21 1:35,18.53,YF,DC,S_DCS_H1,20,Herbivore
186,7/14/21 2:35,18.49,YF,DC,S_DCS_H1,20,Herbivore
187,7/14/21 3:35,18.53,YF,DC,S_DCS_H1,20,Herbivore
188,7/14/21 4:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
189,7/14/21 5:35,18.44,YF,DC,S_DCS_H1,20,Herbivore
190,7/14/21 6:35,18.74,YF,DC,S_DCS_H1,20,Herbivore
191,7/14/21 7:35,19.35,YF,DC,S_DCS_H1,20,Herbivore
192,7/14/21 8:35,20.12,YF,DC,S_DCS_H1,20,Herbivore
193,7/14/21 9:35,20.63,YF,DC,S_DCS_H1,20,Herbivore
194,7/14/21 10:35,22.22,YF,DC,S_DCS_H1,20,Herbivore
195,7/14/21 11:35,23.46,YF,DC,S_DCS_H1,20,Herbivore
196,7/14/21 12:35,24.58,YF,DC,S_DCS_H1,20,Herbivore
197,7/14/21 13:35,26.47,YF,DC,S_DCS_H1,20,Herbivore
